"Statistic Label","Census Year","County and City","Detailed Marital Status","Sex","UNIT","VALUE"
"Population","2011","Dublin City","Single","Male","Number","160329"
"Population","2011","Dublin City","Single","Female","Number","159870"
"Population","2011","Dublin City","Married (first marriage)","Both sexes","Number","151753"
"Population","2011","Dublin City","Married (first marriage)","Male","Number","76173"
"Population","2011","Dublin City","Married (first marriage)","Female","Number","75580"
"Population","2011","Dublin City","Re-married","Both sexes","Number","5087"
"Population","2011","Dublin City","Re-married","Male","Number","2924"
"Population","2011","Dublin City","Re-married","Female","Number","2163"
"Population","2011","Dublin City","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Dublin City","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Dublin City","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Dublin City","Separated","Both sexes","Number","14713"
"Population","2011","Dublin City","Separated","Male","Number","6721"
"Population","2011","Dublin City","Separated","Female","Number","7992"
"Population","2011","Dublin City","Divorced","Both sexes","Number","11042"
"Population","2011","Dublin City","Divorced","Male","Number","5043"
"Population","2011","Dublin City","Divorced","Female","Number","5999"
"Population","2011","Dublin City","Widowed","Both sexes","Number","24818"
"Population","2011","Dublin City","Widowed","Male","Number","6113"
"Population","2011","Dublin City","Widowed","Female","Number","18705"
"Population","2011","Dún Laoghaire-Rathdown","All marital status","Both sexes","Number","206261"
"Population","2011","Dún Laoghaire-Rathdown","All marital status","Male","Number","98567"
"Population","2011","Dún Laoghaire-Rathdown","All marital status","Female","Number","107694"
"Population","2011","Dún Laoghaire-Rathdown","Single","Both sexes","Number","108775"
"Population","2011","Dún Laoghaire-Rathdown","Single","Male","Number","53656"
"Population","2011","Dún Laoghaire-Rathdown","Single","Female","Number","55119"
"Population","2011","Dún Laoghaire-Rathdown","Married (first marriage)","Both sexes","Number","77122"
"Population","2011","Dún Laoghaire-Rathdown","Married (first marriage)","Male","Number","38091"
"Population","2011","Dún Laoghaire-Rathdown","Married (first marriage)","Female","Number","39031"
"Population","2011","Dún Laoghaire-Rathdown","Re-married","Both sexes","Number","2623"
"Population","2011","Dún Laoghaire-Rathdown","Re-married","Male","Number","1555"
"Population","2011","Dún Laoghaire-Rathdown","Re-married","Female","Number","1068"
"Population","2011","Dún Laoghaire-Rathdown","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Dún Laoghaire-Rathdown","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Dún Laoghaire-Rathdown","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Dún Laoghaire-Rathdown","Separated","Both sexes","Number","4738"
"Population","2011","Dún Laoghaire-Rathdown","Separated","Male","Number","1888"
"Population","2011","Dún Laoghaire-Rathdown","Separated","Female","Number","2850"
"Population","2011","Dún Laoghaire-Rathdown","Divorced","Both sexes","Number","3861"
"Population","2011","Dún Laoghaire-Rathdown","Divorced","Male","Number","1436"
"Population","2011","Dún Laoghaire-Rathdown","Divorced","Female","Number","2425"
"Population","2011","Dún Laoghaire-Rathdown","Widowed","Both sexes","Number","9142"
"Population","2011","Dún Laoghaire-Rathdown","Widowed","Male","Number","1941"
"Population","2011","Dún Laoghaire-Rathdown","Widowed","Female","Number","7201"
"Population","2011","Fingal","All marital status","Both sexes","Number","273991"
"Population","2011","Fingal","All marital status","Male","Number","134488"
"Population","2011","Fingal","All marital status","Female","Number","139503"
"Population","2011","Fingal","Single","Both sexes","Number","150728"
"Population","2011","Fingal","Single","Male","Number","75879"
"Population","2011","Fingal","Single","Female","Number","74849"
"Population","2011","Fingal","Married (first marriage)","Both sexes","Number","100616"
"Population","2011","Fingal","Married (first marriage)","Male","Number","50060"
"Population","2011","Fingal","Married (first marriage)","Female","Number","50556"
"Population","2011","Fingal","Re-married","Both sexes","Number","3286"
"Population","2011","Fingal","Re-married","Male","Number","1906"
"Population","2011","Fingal","Re-married","Female","Number","1380"
"Population","2011","Fingal","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Fingal","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Fingal","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Fingal","Separated","Both sexes","Number","6757"
"Population","2011","Fingal","Separated","Male","Number","2703"
"Population","2011","Fingal","Separated","Female","Number","4054"
"Population","2011","Fingal","Divorced","Both sexes","Number","5578"
"Population","2011","Fingal","Divorced","Male","Number","2220"
"Population","2011","Fingal","Divorced","Female","Number","3358"
"Population","2011","Fingal","Widowed","Both sexes","Number","7026"
"Population","2011","Fingal","Widowed","Male","Number","1720"
"Population","2011","Fingal","Widowed","Female","Number","5306"
"Population","2011","South Dublin","All marital status","Both sexes","Number","265205"
"Population","2011","South Dublin","All marital status","Male","Number","129544"
"Population","2011","South Dublin","All marital status","Female","Number","135661"
"Population","2011","South Dublin","Single","Both sexes","Number","147720"
"Population","2011","South Dublin","Single","Male","Number","74302"
"Population","2011","South Dublin","Single","Female","Number","73418"
"Population","2011","South Dublin","Married (first marriage)","Both sexes","Number","94567"
"Population","2011","South Dublin","Married (first marriage)","Male","Number","47136"
"Population","2011","South Dublin","Married (first marriage)","Female","Number","47431"
"Population","2011","South Dublin","Re-married","Both sexes","Number","2771"
"Population","2011","South Dublin","Re-married","Male","Number","1590"
"Population","2011","South Dublin","Re-married","Female","Number","1181"
"Population","2011","South Dublin","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","South Dublin","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","South Dublin","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","South Dublin","Separated","Both sexes","Number","6951"
"Population","2011","South Dublin","Separated","Male","Number","2598"
"Population","2011","South Dublin","Separated","Female","Number","4353"
"Population","2011","South Dublin","Divorced","Both sexes","Number","4976"
"Population","2011","South Dublin","Divorced","Male","Number","1930"
"Population","2011","South Dublin","Divorced","Female","Number","3046"
"Population","2011","South Dublin","Widowed","Both sexes","Number","8220"
"Population","2011","South Dublin","Widowed","Male","Number","1988"
"Population","2011","South Dublin","Widowed","Female","Number","6232"
"Population","2011","Kildare","All marital status","Both sexes","Number","210312"
"Population","2011","Kildare","All marital status","Male","Number","104658"
"Population","2011","Kildare","All marital status","Female","Number","105654"
"Population","2011","Kildare","Single","Both sexes","Number","113951"
"Population","2011","Kildare","Single","Male","Number","58773"
"Population","2011","Kildare","Single","Female","Number","55178"
"Population","2011","Kildare","Married (first marriage)","Both sexes","Number","78393"
"Population","2011","Kildare","Married (first marriage)","Male","Number","39093"
"Population","2011","Kildare","Married (first marriage)","Female","Number","39300"
"Population","2011","Kildare","Re-married","Both sexes","Number","2504"
"Population","2011","Kildare","Re-married","Male","Number","1428"
"Population","2011","Kildare","Re-married","Female","Number","1076"
"Population","2011","Kildare","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Kildare","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Kildare","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Kildare","Separated","Both sexes","Number","5230"
"Population","2011","Kildare","Separated","Male","Number","2238"
"Population","2011","Kildare","Separated","Female","Number","2992"
"Population","2011","Kildare","Divorced","Both sexes","Number","3677"
"Population","2011","Kildare","Divorced","Male","Number","1547"
"Population","2011","Kildare","Divorced","Female","Number","2130"
"Population","2011","Kildare","Widowed","Both sexes","Number","6557"
"Population","2011","Kildare","Widowed","Male","Number","1579"
"Population","2011","Kildare","Widowed","Female","Number","4978"
"Population","2011","Kilkenny","All marital status","Both sexes","Number","95419"
"Population","2011","Kilkenny","All marital status","Male","Number","47788"
"Population","2011","Kilkenny","All marital status","Female","Number","47631"
"Population","2011","Kilkenny","Single","Both sexes","Number","49959"
"Population","2011","Kilkenny","Single","Male","Number","26292"
"Population","2011","Kilkenny","Single","Female","Number","23667"
"Population","2011","Kilkenny","Married (first marriage)","Both sexes","Number","36430"
"Population","2011","Kilkenny","Married (first marriage)","Male","Number","18186"
"Population","2011","Kilkenny","Married (first marriage)","Female","Number","18244"
"Population","2011","Kilkenny","Re-married","Both sexes","Number","1073"
"Population","2011","Kilkenny","Re-married","Male","Number","600"
"Population","2011","Kilkenny","Re-married","Female","Number","473"
"Population","2011","Kilkenny","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Kilkenny","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Kilkenny","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Kilkenny","Separated","Both sexes","Number","2284"
"Population","2011","Kilkenny","Separated","Male","Number","1053"
"Population","2011","Kilkenny","Separated","Female","Number","1231"
"Population","2011","Kilkenny","Divorced","Both sexes","Number","1639"
"Population","2011","Kilkenny","Divorced","Male","Number","733"
"Population","2011","Kilkenny","Divorced","Female","Number","906"
"Population","2011","Kilkenny","Widowed","Both sexes","Number","4034"
"Population","2011","Kilkenny","Widowed","Male","Number","924"
"Population","2011","Kilkenny","Widowed","Female","Number","3110"
"Population","2011","Laois","All marital status","Both sexes","Number","80559"
"Population","2011","Laois","All marital status","Male","Number","40587"
"Population","2011","Laois","All marital status","Female","Number","39972"
"Population","2011","Laois","Single","Both sexes","Number","43667"
"Population","2011","Laois","Single","Male","Number","22990"
"Population","2011","Laois","Single","Female","Number","20677"
"Population","2011","Laois","Married (first marriage)","Both sexes","Number","29460"
"Population","2011","Laois","Married (first marriage)","Male","Number","14753"
"Population","2011","Laois","Married (first marriage)","Female","Number","14707"
"Population","2011","Laois","Re-married","Both sexes","Number","922"
"Population","2011","Laois","Re-married","Male","Number","515"
"Population","2011","Laois","Re-married","Female","Number","407"
"Population","2011","Laois","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Laois","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Laois","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Laois","Separated","Both sexes","Number","2106"
"Population","2011","Laois","Separated","Male","Number","983"
"Population","2011","Laois","Separated","Female","Number","1123"
"Population","2011","Laois","Divorced","Both sexes","Number","1425"
"Population","2011","Laois","Divorced","Male","Number","660"
"Population","2011","Laois","Divorced","Female","Number","765"
"Population","2011","Laois","Widowed","Both sexes","Number","2979"
"Population","2011","Laois","Widowed","Male","Number","686"
"Population","2011","Laois","Widowed","Female","Number","2293"
"Population","2011","Longford","All marital status","Both sexes","Number","39000"
"Population","2011","Longford","All marital status","Male","Number","19649"
"Population","2011","Longford","All marital status","Female","Number","19351"
"Population","2011","Longford","Single","Both sexes","Number","20552"
"Population","2011","Longford","Single","Male","Number","11054"
"Population","2011","Longford","Single","Female","Number","9498"
"Population","2011","Longford","Married (first marriage)","Both sexes","Number","14258"
"Population","2011","Longford","Married (first marriage)","Male","Number","7129"
"Population","2011","Longford","Married (first marriage)","Female","Number","7129"
"Population","2011","Longford","Re-married","Both sexes","Number","460"
"Population","2011","Longford","Re-married","Male","Number","251"
"Population","2011","Longford","Re-married","Female","Number","209"
"Population","2011","Longford","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Longford","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Longford","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Longford","Separated","Both sexes","Number","1138"
"Population","2011","Longford","Separated","Male","Number","484"
"Population","2011","Longford","Separated","Female","Number","654"
"Population","2011","Longford","Divorced","Both sexes","Number","766"
"Population","2011","Longford","Divorced","Male","Number","360"
"Population","2011","Longford","Divorced","Female","Number","406"
"Population","2011","Longford","Widowed","Both sexes","Number","1826"
"Population","2011","Longford","Widowed","Male","Number","371"
"Population","2011","Longford","Widowed","Female","Number","1455"
"Population","2011","Louth","All marital status","Both sexes","Number","122897"
"Population","2011","Louth","All marital status","Male","Number","60763"
"Population","2011","Louth","All marital status","Female","Number","62134"
"Population","2011","Louth","Single","Both sexes","Number","66604"
"Population","2011","Louth","Single","Male","Number","34416"
"Population","2011","Louth","Single","Female","Number","32188"
"Population","2011","Louth","Married (first marriage)","Both sexes","Number","43848"
"Population","2011","Louth","Married (first marriage)","Male","Number","21816"
"Population","2011","Louth","Married (first marriage)","Female","Number","22032"
"Population","2011","Louth","Re-married","Both sexes","Number","1350"
"Population","2011","Louth","Re-married","Male","Number","736"
"Population","2011","Louth","Re-married","Female","Number","614"
"Population","2011","Louth","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Louth","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Louth","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Louth","Separated","Both sexes","Number","3612"
"Population","2011","Louth","Separated","Male","Number","1545"
"Population","2011","Louth","Separated","Female","Number","2067"
"Population","2011","Louth","Divorced","Both sexes","Number","2539"
"Population","2011","Louth","Divorced","Male","Number","1098"
"Population","2011","Louth","Divorced","Female","Number","1441"
"Population","2011","Louth","Widowed","Both sexes","Number","4944"
"Population","2011","Louth","Widowed","Male","Number","1152"
"Population","2011","Louth","Widowed","Female","Number","3792"
"Population","2011","Meath","All marital status","Both sexes","Number","184135"
"Population","2011","Meath","All marital status","Male","Number","91910"
"Population","2011","Meath","All marital status","Female","Number","92225"
"Population","2011","Meath","Single","Both sexes","Number","96878"
"Population","2011","Meath","Single","Male","Number","50404"
"Population","2011","Meath","Single","Female","Number","46474"
"Population","2011","Meath","Married (first marriage)","Both sexes","Number","71377"
"Population","2011","Meath","Married (first marriage)","Male","Number","35541"
"Population","2011","Meath","Married (first marriage)","Female","Number","35836"
"Population","2011","Meath","Re-married","Both sexes","Number","2224"
"Population","2011","Meath","Re-married","Male","Number","1279"
"Population","2011","Meath","Re-married","Female","Number","945"
"Population","2011","Meath","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Meath","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Meath","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Meath","Separated","Both sexes","Number","4653"
"Population","2011","Meath","Separated","Male","Number","2024"
"Population","2011","Meath","Separated","Female","Number","2629"
"Population","2011","Meath","Divorced","Both sexes","Number","3173"
"Population","2011","Meath","Divorced","Male","Number","1363"
"Population","2011","Meath","Divorced","Female","Number","1810"
"Population","2011","Meath","Widowed","Both sexes","Number","5830"
"Population","2011","Meath","Widowed","Male","Number","1299"
"Population","2011","Meath","Widowed","Female","Number","4531"
"Population","2011","Offaly","All marital status","Both sexes","Number","76687"
"Population","2011","Offaly","All marital status","Male","Number","38430"
"Population","2011","Offaly","All marital status","Female","Number","38257"
"Population","2011","Offaly","Single","Both sexes","Number","40221"
"Population","2011","Offaly","Single","Male","Number","21253"
"Population","2011","Offaly","Single","Female","Number","18968"
"Population","2011","Offaly","Married (first marriage)","Both sexes","Number","28982"
"Population","2011","Offaly","Married (first marriage)","Male","Number","14543"
"Population","2011","Offaly","Married (first marriage)","Female","Number","14439"
"Population","2011","Offaly","Re-married","Both sexes","Number","772"
"Population","2011","Offaly","Re-married","Male","Number","398"
"Population","2011","Offaly","Re-married","Female","Number","374"
"Population","2011","Offaly","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Offaly","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Offaly","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Offaly","Separated","Both sexes","Number","2058"
"Population","2011","Offaly","Separated","Male","Number","909"
"Population","2011","Offaly","Separated","Female","Number","1149"
"Population","2011","Offaly","Divorced","Both sexes","Number","1340"
"Population","2011","Offaly","Divorced","Male","Number","587"
"Population","2011","Offaly","Divorced","Female","Number","753"
"Population","2011","Offaly","Widowed","Both sexes","Number","3314"
"Population","2011","Offaly","Widowed","Male","Number","740"
"Population","2011","Offaly","Widowed","Female","Number","2574"
"Population","2011","Westmeath","All marital status","Both sexes","Number","86164"
"Population","2011","Westmeath","All marital status","Male","Number","42783"
"Population","2011","Westmeath","All marital status","Female","Number","43381"
"Population","2011","Westmeath","Single","Both sexes","Number","46248"
"Population","2011","Westmeath","Single","Male","Number","24094"
"Population","2011","Westmeath","Single","Female","Number","22154"
"Population","2011","Westmeath","Married (first marriage)","Both sexes","Number","31295"
"Population","2011","Westmeath","Married (first marriage)","Male","Number","15621"
"Population","2011","Westmeath","Married (first marriage)","Female","Number","15674"
"Population","2011","Westmeath","Re-married","Both sexes","Number","1027"
"Population","2011","Westmeath","Re-married","Male","Number","557"
"Population","2011","Westmeath","Re-married","Female","Number","470"
"Population","2011","Westmeath","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Westmeath","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Westmeath","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Westmeath","Separated","Both sexes","Number","2364"
"Population","2011","Westmeath","Separated","Male","Number","1020"
"Population","2011","Westmeath","Separated","Female","Number","1344"
"Population","2011","Westmeath","Divorced","Both sexes","Number","1659"
"Population","2011","Westmeath","Divorced","Male","Number","747"
"Population","2011","Westmeath","Divorced","Female","Number","912"
"Population","2011","Westmeath","Widowed","Both sexes","Number","3571"
"Population","2011","Westmeath","Widowed","Male","Number","744"
"Population","2011","Westmeath","Widowed","Female","Number","2827"
"Population","2011","Wexford","All marital status","Both sexes","Number","145320"
"Population","2011","Wexford","All marital status","Male","Number","71909"
"Population","2011","Wexford","All marital status","Female","Number","73411"
"Population","2011","Wexford","Single","Both sexes","Number","75774"
"Population","2011","Wexford","Single","Male","Number","39239"
"Population","2011","Wexford","Single","Female","Number","36535"
"Population","2011","Wexford","Married (first marriage)","Both sexes","Number","53516"
"Population","2011","Wexford","Married (first marriage)","Male","Number","26611"
"Population","2011","Wexford","Married (first marriage)","Female","Number","26905"
"Population","2011","Wexford","Re-married","Both sexes","Number","2207"
"Population","2011","Wexford","Re-married","Male","Number","1235"
"Population","2011","Wexford","Re-married","Female","Number","972"
"Population","2011","Wexford","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Wexford","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Wexford","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Wexford","Separated","Both sexes","Number","4305"
"Population","2011","Wexford","Separated","Male","Number","1935"
"Population","2011","Wexford","Separated","Female","Number","2370"
"Population","2011","Wexford","Divorced","Both sexes","Number","3132"
"Population","2011","Wexford","Divorced","Male","Number","1387"
"Population","2011","Wexford","Divorced","Female","Number","1745"
"Population","2011","Wexford","Widowed","Both sexes","Number","6386"
"Population","2011","Wexford","Widowed","Male","Number","1502"
"Population","2011","Wexford","Widowed","Female","Number","4884"
"Population","2011","Wicklow","All marital status","Both sexes","Number","136640"
"Population","2011","Wicklow","All marital status","Male","Number","67542"
"Population","2011","Wicklow","All marital status","Female","Number","69098"
"Population","2011","Wicklow","Single","Both sexes","Number","71882"
"Population","2011","Wicklow","Single","Male","Number","37052"
"Population","2011","Wicklow","Single","Female","Number","34830"
"Population","2011","Wicklow","Married (first marriage)","Both sexes","Number","50636"
"Population","2011","Wicklow","Married (first marriage)","Male","Number","25125"
"Population","2011","Wicklow","Married (first marriage)","Female","Number","25511"
"Population","2011","Wicklow","Re-married","Both sexes","Number","1960"
"Population","2011","Wicklow","Re-married","Male","Number","1128"
"Population","2011","Wicklow","Re-married","Female","Number","832"
"Population","2011","Wicklow","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Wicklow","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Wicklow","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Wicklow","Separated","Both sexes","Number","3991"
"Population","2011","Wicklow","Separated","Male","Number","1808"
"Population","2011","Wicklow","Separated","Female","Number","2183"
"Population","2011","Wicklow","Divorced","Both sexes","Number","2955"
"Population","2011","Wicklow","Divorced","Male","Number","1267"
"Population","2011","Wicklow","Divorced","Female","Number","1688"
"Population","2011","Wicklow","Widowed","Both sexes","Number","5216"
"Population","2011","Wicklow","Widowed","Male","Number","1162"
"Population","2011","Wicklow","Widowed","Female","Number","4054"
"Population","2011","Clare","All marital status","Both sexes","Number","117196"
"Population","2011","Clare","All marital status","Male","Number","58298"
"Population","2011","Clare","All marital status","Female","Number","58898"
"Population","2011","Clare","Single","Both sexes","Number","60565"
"Population","2011","Clare","Single","Male","Number","31716"
"Population","2011","Clare","Single","Female","Number","28849"
"Population","2011","Clare","Married (first marriage)","Both sexes","Number","44584"
"Population","2011","Clare","Married (first marriage)","Male","Number","22199"
"Population","2011","Clare","Married (first marriage)","Female","Number","22385"
"Population","2011","Clare","Re-married","Both sexes","Number","1657"
"Population","2011","Clare","Re-married","Male","Number","905"
"Population","2011","Clare","Re-married","Female","Number","752"
"Population","2011","Clare","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Clare","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Clare","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Clare","Separated","Both sexes","Number","2871"
"Population","2011","Clare","Separated","Male","Number","1294"
"Population","2011","Clare","Separated","Female","Number","1577"
"Population","2011","Clare","Divorced","Both sexes","Number","2252"
"Population","2011","Clare","Divorced","Male","Number","972"
"Population","2011","Clare","Divorced","Female","Number","1280"
"Population","2011","Clare","Widowed","Both sexes","Number","5267"
"Population","2011","Clare","Widowed","Male","Number","1212"
"Population","2011","Clare","Widowed","Female","Number","4055"
"Population","2011","Cork City and Cork County","All marital status","Both sexes","Number","519032"
"Population","2011","Cork City and Cork County","All marital status","Male","Number","257470"
"Population","2011","Cork City and Cork County","All marital status","Female","Number","261562"
"Population","2011","Cork City and Cork County","Single","Both sexes","Number","277591"
"Population","2011","Cork City and Cork County","Single","Male","Number","144286"
"Population","2011","Cork City and Cork County","Single","Female","Number","133305"
"Population","2011","Cork City and Cork County","Married (first marriage)","Both sexes","Number","191293"
"Population","2011","Cork City and Cork County","Married (first marriage)","Male","Number","95375"
"Population","2011","Cork City and Cork County","Married (first marriage)","Female","Number","95918"
"Population","2011","Cork City and Cork County","Re-married","Both sexes","Number","5845"
"Population","2011","Cork City and Cork County","Re-married","Male","Number","3190"
"Population","2011","Cork City and Cork County","Re-married","Female","Number","2655"
"Population","2011","Cork City and Cork County","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Cork City and Cork County","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Cork City and Cork County","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Cork City and Cork County","Separated","Both sexes","Number","11895"
"Population","2011","Cork City and Cork County","Separated","Male","Number","5256"
"Population","2011","Cork City and Cork County","Separated","Female","Number","6639"
"Population","2011","Cork City and Cork County","Divorced","Both sexes","Number","9986"
"Population","2011","Cork City and Cork County","Divorced","Male","Number","4340"
"Population","2011","Cork City and Cork County","Divorced","Female","Number","5646"
"Population","2011","Cork City and Cork County","Widowed","Both sexes","Number","22422"
"Population","2011","Cork City and Cork County","Widowed","Male","Number","5023"
"Population","2011","Cork City and Cork County","Widowed","Female","Number","17399"
"Population","2011","Kerry","All marital status","Both sexes","Number","145502"
"Population","2011","Kerry","All marital status","Male","Number","72629"
"Population","2011","Kerry","All marital status","Female","Number","72873"
"Population","2011","Kerry","Single","Both sexes","Number","74214"
"Population","2011","Kerry","Single","Male","Number","39315"
"Population","2011","Kerry","Single","Female","Number","34899"
"Population","2011","Kerry","Married (first marriage)","Both sexes","Number","55998"
"Population","2011","Kerry","Married (first marriage)","Male","Number","27942"
"Population","2011","Kerry","Married (first marriage)","Female","Number","28056"
"Population","2011","Kerry","Re-married","Both sexes","Number","1916"
"Population","2011","Kerry","Re-married","Male","Number","1031"
"Population","2011","Kerry","Re-married","Female","Number","885"
"Population","2011","Kerry","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Kerry","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Kerry","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Kerry","Separated","Both sexes","Number","3377"
"Population","2011","Kerry","Separated","Male","Number","1514"
"Population","2011","Kerry","Separated","Female","Number","1863"
"Population","2011","Kerry","Divorced","Both sexes","Number","2866"
"Population","2011","Kerry","Divorced","Male","Number","1278"
"Population","2011","Kerry","Divorced","Female","Number","1588"
"Population","2011","Kerry","Widowed","Both sexes","Number","7131"
"Population","2011","Kerry","Widowed","Male","Number","1549"
"Population","2011","Kerry","Widowed","Female","Number","5582"
"Population","2011","Limerick City and County","All marital status","Both sexes","Number","191809"
"Population","2011","Limerick City and County","All marital status","Male","Number","95815"
"Population","2011","Limerick City and County","All marital status","Female","Number","95994"
"Population","2011","Limerick City and County","Single","Both sexes","Number","104619"
"Population","2011","Limerick City and County","Single","Male","Number","54944"
