"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Annual Earnings","2011","Westmeath","Male","Euro","41717"
"Mean Annual Earnings","2011","Westmeath","Female","Euro","32629"
"Mean Annual Earnings","2011","Wexford","Both sexes","Euro","33672"
"Mean Annual Earnings","2011","Wexford","Male","Euro","38548"
"Mean Annual Earnings","2011","Wexford","Female","Euro","29542"
"Mean Annual Earnings","2011","Wicklow","Both sexes","Euro","41725"
"Mean Annual Earnings","2011","Wicklow","Male","Euro","49808"
"Mean Annual Earnings","2011","Wicklow","Female","Euro","33984"
"Mean Annual Earnings","2011","Clare","Both sexes","Euro","38592"
"Mean Annual Earnings","2011","Clare","Male","Euro","45175"
"Mean Annual Earnings","2011","Clare","Female","Euro","32606"
"Mean Annual Earnings","2011","Cork","Both sexes","Euro","39169"
"Mean Annual Earnings","2011","Cork","Male","Euro","46007"
"Mean Annual Earnings","2011","Cork","Female","Euro","32519"
"Mean Annual Earnings","2011","Kerry","Both sexes","Euro","34455"
"Mean Annual Earnings","2011","Kerry","Male","Euro","39189"
"Mean Annual Earnings","2011","Kerry","Female","Euro","30384"
"Mean Annual Earnings","2011","Limerick","Both sexes","Euro","38156"
"Mean Annual Earnings","2011","Limerick","Male","Euro","44122"
"Mean Annual Earnings","2011","Limerick","Female","Euro","32416"
"Mean Annual Earnings","2011","Tipperary","Both sexes","Euro","35722"
"Mean Annual Earnings","2011","Tipperary","Male","Euro","40963"
"Mean Annual Earnings","2011","Tipperary","Female","Euro","31034"
"Mean Annual Earnings","2011","Waterford","Both sexes","Euro","36959"
"Mean Annual Earnings","2011","Waterford","Male","Euro","42930"
"Mean Annual Earnings","2011","Waterford","Female","Euro","31397"
"Mean Annual Earnings","2011","Galway","Both sexes","Euro","37499"
"Mean Annual Earnings","2011","Galway","Male","Euro","42041"
"Mean Annual Earnings","2011","Galway","Female","Euro","33570"
"Mean Annual Earnings","2011","Leitrim","Both sexes","Euro","34461"
"Mean Annual Earnings","2011","Leitrim","Male","Euro","37791"
"Mean Annual Earnings","2011","Leitrim","Female","Euro","31839"
"Mean Annual Earnings","2011","Mayo","Both sexes","Euro","34117"
"Mean Annual Earnings","2011","Mayo","Male","Euro","37811"
"Mean Annual Earnings","2011","Mayo","Female","Euro","30939"
"Mean Annual Earnings","2011","Roscommon","Both sexes","Euro","35515"
"Mean Annual Earnings","2011","Roscommon","Male","Euro","39397"
"Mean Annual Earnings","2011","Roscommon","Female","Euro","32165"
"Mean Annual Earnings","2011","Sligo","Both sexes","Euro","36340"
"Mean Annual Earnings","2011","Sligo","Male","Euro","40357"
"Mean Annual Earnings","2011","Sligo","Female","Euro","33050"
"Mean Annual Earnings","2011","Cavan","Both sexes","Euro","34489"
"Mean Annual Earnings","2011","Cavan","Male","Euro","38632"
"Mean Annual Earnings","2011","Cavan","Female","Euro","30741"
"Mean Annual Earnings","2011","Donegal","Both sexes","Euro","31776"
"Mean Annual Earnings","2011","Donegal","Male","Euro","34618"
"Mean Annual Earnings","2011","Donegal","Female","Euro","29422"
"Mean Annual Earnings","2011","Monaghan","Both sexes","Euro","32502"
"Mean Annual Earnings","2011","Monaghan","Male","Euro","35145"
"Mean Annual Earnings","2011","Monaghan","Female","Euro","30147"
"Mean Annual Earnings","2012","All counties (1)","Both sexes","Euro","39487"
"Mean Annual Earnings","2012","All counties (1)","Male","Euro","45452"
"Mean Annual Earnings","2012","All counties (1)","Female","Euro","33806"
"Mean Annual Earnings","2012","Carlow","Both sexes","Euro","34436"
"Mean Annual Earnings","2012","Carlow","Male","Euro","37789"
"Mean Annual Earnings","2012","Carlow","Female","Euro","31113"
"Mean Annual Earnings","2012","Dublin","Both sexes","Euro","44197"
"Mean Annual Earnings","2012","Dublin","Male","Euro","51003"
"Mean Annual Earnings","2012","Dublin","Female","Euro","37405"
"Mean Annual Earnings","2012","Kildare","Both sexes","Euro","41804"
"Mean Annual Earnings","2012","Kildare","Male","Euro","48663"
"Mean Annual Earnings","2012","Kildare","Female","Euro","34636"
"Mean Annual Earnings","2012","Kilkenny","Both sexes","Euro","36735"
"Mean Annual Earnings","2012","Kilkenny","Male","Euro","42031"
"Mean Annual Earnings","2012","Kilkenny","Female","Euro","32284"
"Mean Annual Earnings","2012","Laois","Both sexes","Euro","36708"
"Mean Annual Earnings","2012","Laois","Male","Euro","41708"
"Mean Annual Earnings","2012","Laois","Female","Euro","32125"
"Mean Annual Earnings","2012","Longford","Both sexes","Euro","33400"
"Mean Annual Earnings","2012","Longford","Male","Euro","36571"
"Mean Annual Earnings","2012","Longford","Female","Euro","30558"
"Mean Annual Earnings","2012","Louth","Both sexes","Euro","35710"
"Mean Annual Earnings","2012","Louth","Male","Euro","40854"
"Mean Annual Earnings","2012","Louth","Female","Euro","30476"
"Mean Annual Earnings","2012","Meath","Both sexes","Euro","40778"
"Mean Annual Earnings","2012","Meath","Male","Euro","47996"
"Mean Annual Earnings","2012","Meath","Female","Euro","33728"
"Mean Annual Earnings","2012","Offaly","Both sexes","Euro","35301"
"Mean Annual Earnings","2012","Offaly","Male","Euro","39447"
"Mean Annual Earnings","2012","Offaly","Female","Euro","31289"
"Mean Annual Earnings","2012","Westmeath","Both sexes","Euro","36718"
"Mean Annual Earnings","2012","Westmeath","Male","Euro","41091"
"Mean Annual Earnings","2012","Westmeath","Female","Euro","32568"
"Mean Annual Earnings","2012","Wexford","Both sexes","Euro","33612"
"Mean Annual Earnings","2012","Wexford","Male","Euro","38249"
"Mean Annual Earnings","2012","Wexford","Female","Euro","29668"
"Mean Annual Earnings","2012","Wicklow","Both sexes","Euro","41293"
"Mean Annual Earnings","2012","Wicklow","Male","Euro","48947"
"Mean Annual Earnings","2012","Wicklow","Female","Euro","34067"
"Mean Annual Earnings","2012","Clare","Both sexes","Euro","38539"
"Mean Annual Earnings","2012","Clare","Male","Euro","44903"
"Mean Annual Earnings","2012","Clare","Female","Euro","32643"
"Mean Annual Earnings","2012","Cork","Both sexes","Euro","39258"
"Mean Annual Earnings","2012","Cork","Male","Euro","45908"
"Mean Annual Earnings","2012","Cork","Female","Euro","32776"
"Mean Annual Earnings","2012","Kerry","Both sexes","Euro","34396"
"Mean Annual Earnings","2012","Kerry","Male","Euro","39071"
"Mean Annual Earnings","2012","Kerry","Female","Euro","30322"
"Mean Annual Earnings","2012","Limerick","Both sexes","Euro","38514"
"Mean Annual Earnings","2012","Limerick","Male","Euro","44628"
"Mean Annual Earnings","2012","Limerick","Female","Euro","32536"
"Mean Annual Earnings","2012","Tipperary","Both sexes","Euro","35582"
"Mean Annual Earnings","2012","Tipperary","Male","Euro","40596"
"Mean Annual Earnings","2012","Tipperary","Female","Euro","31105"
"Mean Annual Earnings","2012","Waterford","Both sexes","Euro","36599"
"Mean Annual Earnings","2012","Waterford","Male","Euro","42396"
"Mean Annual Earnings","2012","Waterford","Female","Euro","31157"
"Mean Annual Earnings","2012","Galway","Both sexes","Euro","37407"
"Mean Annual Earnings","2012","Galway","Male","Euro","41737"
"Mean Annual Earnings","2012","Galway","Female","Euro","33591"
"Mean Annual Earnings","2012","Leitrim","Both sexes","Euro","34092"
"Mean Annual Earnings","2012","Leitrim","Male","Euro","37094"
"Mean Annual Earnings","2012","Leitrim","Female","Euro","31675"
"Mean Annual Earnings","2012","Mayo","Both sexes","Euro","34039"
"Mean Annual Earnings","2012","Mayo","Male","Euro","37667"
"Mean Annual Earnings","2012","Mayo","Female","Euro","30897"
"Mean Annual Earnings","2012","Roscommon","Both sexes","Euro","35223"
"Mean Annual Earnings","2012","Roscommon","Male","Euro","38906"
"Mean Annual Earnings","2012","Roscommon","Female","Euro","32013"
"Mean Annual Earnings","2012","Sligo","Both sexes","Euro","36170"
"Mean Annual Earnings","2012","Sligo","Male","Euro","39738"
"Mean Annual Earnings","2012","Sligo","Female","Euro","33220"
"Mean Annual Earnings","2012","Cavan","Both sexes","Euro","34120"
"Mean Annual Earnings","2012","Cavan","Male","Euro","37953"
"Mean Annual Earnings","2012","Cavan","Female","Euro","30670"
"Mean Annual Earnings","2012","Donegal","Both sexes","Euro","31705"
"Mean Annual Earnings","2012","Donegal","Male","Euro","34174"
"Mean Annual Earnings","2012","Donegal","Female","Euro","29635"
"Mean Annual Earnings","2012","Monaghan","Both sexes","Euro","32390"
"Mean Annual Earnings","2012","Monaghan","Male","Euro","34929"
"Mean Annual Earnings","2012","Monaghan","Female","Euro","30149"
"Mean Annual Earnings","2013","All counties (1)","Both sexes","Euro","39682"
"Mean Annual Earnings","2013","All counties (1)","Male","Euro","45511"
"Mean Annual Earnings","2013","All counties (1)","Female","Euro","34058"
"Mean Annual Earnings","2013","Carlow","Both sexes","Euro","34823"
"Mean Annual Earnings","2013","Carlow","Male","Euro","38544"
"Mean Annual Earnings","2013","Carlow","Female","Euro","31134"
"Mean Annual Earnings","2013","Dublin","Both sexes","Euro","44498"
"Mean Annual Earnings","2013","Dublin","Male","Euro","51184"
"Mean Annual Earnings","2013","Dublin","Female","Euro","37743"
"Mean Annual Earnings","2013","Kildare","Both sexes","Euro","41896"
"Mean Annual Earnings","2013","Kildare","Male","Euro","48601"
"Mean Annual Earnings","2013","Kildare","Female","Euro","34900"
"Mean Annual Earnings","2013","Kilkenny","Both sexes","Euro","37022"
"Mean Annual Earnings","2013","Kilkenny","Male","Euro","42457"
"Mean Annual Earnings","2013","Kilkenny","Female","Euro","32508"
"Mean Annual Earnings","2013","Laois","Both sexes","Euro","36985"
"Mean Annual Earnings","2013","Laois","Male","Euro","41866"
"Mean Annual Earnings","2013","Laois","Female","Euro","32520"
"Mean Annual Earnings","2013","Longford","Both sexes","Euro","33957"
"Mean Annual Earnings","2013","Longford","Male","Euro","36883"
"Mean Annual Earnings","2013","Longford","Female","Euro","31245"
"Mean Annual Earnings","2013","Louth","Both sexes","Euro","36236"
"Mean Annual Earnings","2013","Louth","Male","Euro","40979"
"Mean Annual Earnings","2013","Louth","Female","Euro","31479"
"Mean Annual Earnings","2013","Meath","Both sexes","Euro","41062"
"Mean Annual Earnings","2013","Meath","Male","Euro","48029"
"Mean Annual Earnings","2013","Meath","Female","Euro","34166"
"Mean Annual Earnings","2013","Offaly","Both sexes","Euro","35482"
"Mean Annual Earnings","2013","Offaly","Male","Euro","39646"
"Mean Annual Earnings","2013","Offaly","Female","Euro","31412"
"Mean Annual Earnings","2013","Westmeath","Both sexes","Euro","36662"
"Mean Annual Earnings","2013","Westmeath","Male","Euro","40860"
"Mean Annual Earnings","2013","Westmeath","Female","Euro","32608"
"Mean Annual Earnings","2013","Wexford","Both sexes","Euro","33566"
"Mean Annual Earnings","2013","Wexford","Male","Euro","37883"
"Mean Annual Earnings","2013","Wexford","Female","Euro","29804"
"Mean Annual Earnings","2013","Wicklow","Both sexes","Euro","41252"
"Mean Annual Earnings","2013","Wicklow","Male","Euro","48698"
"Mean Annual Earnings","2013","Wicklow","Female","Euro","34048"
"Mean Annual Earnings","2013","Clare","Both sexes","Euro","38573"
"Mean Annual Earnings","2013","Clare","Male","Euro","44786"
"Mean Annual Earnings","2013","Clare","Female","Euro","32846"
"Mean Annual Earnings","2013","Cork","Both sexes","Euro","39481"
"Mean Annual Earnings","2013","Cork","Male","Euro","46005"
"Mean Annual Earnings","2013","Cork","Female","Euro","32969"
"Mean Annual Earnings","2013","Kerry","Both sexes","Euro","34481"
"Mean Annual Earnings","2013","Kerry","Male","Euro","38977"
"Mean Annual Earnings","2013","Kerry","Female","Euro","30567"
"Mean Annual Earnings","2013","Limerick","Both sexes","Euro","38605"
"Mean Annual Earnings","2013","Limerick","Male","Euro","44530"
"Mean Annual Earnings","2013","Limerick","Female","Euro","32730"
"Mean Annual Earnings","2013","Tipperary","Both sexes","Euro","35895"
"Mean Annual Earnings","2013","Tipperary","Male","Euro","40798"
"Mean Annual Earnings","2013","Tipperary","Female","Euro","31388"
"Mean Annual Earnings","2013","Waterford","Both sexes","Euro","36815"
"Mean Annual Earnings","2013","Waterford","Male","Euro","42446"
"Mean Annual Earnings","2013","Waterford","Female","Euro","31524"
"Mean Annual Earnings","2013","Galway","Both sexes","Euro","37639"
"Mean Annual Earnings","2013","Galway","Male","Euro","41983"
"Mean Annual Earnings","2013","Galway","Female","Euro","33712"
"Mean Annual Earnings","2013","Leitrim","Both sexes","Euro","34431"
"Mean Annual Earnings","2013","Leitrim","Male","Euro","37332"
"Mean Annual Earnings","2013","Leitrim","Female","Euro","32148"
"Mean Annual Earnings","2013","Mayo","Both sexes","Euro","34117"
"Mean Annual Earnings","2013","Mayo","Male","Euro","37732"
"Mean Annual Earnings","2013","Mayo","Female","Euro","30934"
"Mean Annual Earnings","2013","Roscommon","Both sexes","Euro","35370"
"Mean Annual Earnings","2013","Roscommon","Male","Euro","38922"
"Mean Annual Earnings","2013","Roscommon","Female","Euro","32258"
"Mean Annual Earnings","2013","Sligo","Both sexes","Euro","36549"
"Mean Annual Earnings","2013","Sligo","Male","Euro","40273"
"Mean Annual Earnings","2013","Sligo","Female","Euro","33335"
"Mean Annual Earnings","2013","Cavan","Both sexes","Euro","34417"
"Mean Annual Earnings","2013","Cavan","Male","Euro","38132"
"Mean Annual Earnings","2013","Cavan","Female","Euro","31002"
"Mean Annual Earnings","2013","Donegal","Both sexes","Euro","31539"
"Mean Annual Earnings","2013","Donegal","Male","Euro","33720"
"Mean Annual Earnings","2013","Donegal","Female","Euro","29658"
"Mean Annual Earnings","2013","Monaghan","Both sexes","Euro","32381"
"Mean Annual Earnings","2013","Monaghan","Male","Euro","34850"
"Mean Annual Earnings","2013","Monaghan","Female","Euro","30174"
"Mean Annual Earnings","2014","All counties (1)","Both sexes","Euro","40078"
"Mean Annual Earnings","2014","All counties (1)","Male","Euro","45933"
"Mean Annual Earnings","2014","All counties (1)","Female","Euro","34331"
"Mean Annual Earnings","2014","Carlow","Both sexes","Euro","34821"
"Mean Annual Earnings","2014","Carlow","Male","Euro","38377"
"Mean Annual Earnings","2014","Carlow","Female","Euro","31229"
"Mean Annual Earnings","2014","Dublin","Both sexes","Euro","45041"
"Mean Annual Earnings","2014","Dublin","Male","Euro","51790"
"Mean Annual Earnings","2014","Dublin","Female","Euro","38102"
"Mean Annual Earnings","2014","Kildare","Both sexes","Euro","42287"
"Mean Annual Earnings","2014","Kildare","Male","Euro","48949"
"Mean Annual Earnings","2014","Kildare","Female","Euro","35159"
"Mean Annual Earnings","2014","Kilkenny","Both sexes","Euro","36999"
"Mean Annual Earnings","2014","Kilkenny","Male","Euro","42065"
"Mean Annual Earnings","2014","Kilkenny","Female","Euro","32669"
"Mean Annual Earnings","2014","Laois","Both sexes","Euro","37265"
"Mean Annual Earnings","2014","Laois","Male","Euro","42160"
"Mean Annual Earnings","2014","Laois","Female","Euro","32621"
"Mean Annual Earnings","2014","Longford","Both sexes","Euro","34062"
"Mean Annual Earnings","2014","Longford","Male","Euro","37093"
"Mean Annual Earnings","2014","Longford","Female","Euro","31220"
"Mean Annual Earnings","2014","Louth","Both sexes","Euro","36518"
"Mean Annual Earnings","2014","Louth","Male","Euro","41257"
"Mean Annual Earnings","2014","Louth","Female","Euro","31736"
"Mean Annual Earnings","2014","Meath","Both sexes","Euro","41343"
"Mean Annual Earnings","2014","Meath","Male","Euro","48309"
"Mean Annual Earnings","2014","Meath","Female","Euro","34279"
"Mean Annual Earnings","2014","Offaly","Both sexes","Euro","35875"
"Mean Annual Earnings","2014","Offaly","Male","Euro","39865"
"Mean Annual Earnings","2014","Offaly","Female","Euro","31790"
"Mean Annual Earnings","2014","Westmeath","Both sexes","Euro","37025"
"Mean Annual Earnings","2014","Westmeath","Male","Euro","41022"
"Mean Annual Earnings","2014","Westmeath","Female","Euro","32982"
"Mean Annual Earnings","2014","Wexford","Both sexes","Euro","33632"
"Mean Annual Earnings","2014","Wexford","Male","Euro","38020"
"Mean Annual Earnings","2014","Wexford","Female","Euro","29703"
"Mean Annual Earnings","2014","Wicklow","Both sexes","Euro","41692"
"Mean Annual Earnings","2014","Wicklow","Male","Euro","49323"
"Mean Annual Earnings","2014","Wicklow","Female","Euro","34331"
"Mean Annual Earnings","2014","Clare","Both sexes","Euro","38966"
"Mean Annual Earnings","2014","Clare","Male","Euro","45438"
"Mean Annual Earnings","2014","Clare","Female","Euro","33083"
"Mean Annual Earnings","2014","Cork","Both sexes","Euro","40025"
"Mean Annual Earnings","2014","Cork","Male","Euro","46632"
"Mean Annual Earnings","2014","Cork","Female","Euro","33304"
"Mean Annual Earnings","2014","Kerry","Both sexes","Euro","34911"
"Mean Annual Earnings","2014","Kerry","Male","Euro","39526"
"Mean Annual Earnings","2014","Kerry","Female","Euro","30810"
"Mean Annual Earnings","2014","Limerick","Both sexes","Euro","38949"
"Mean Annual Earnings","2014","Limerick","Male","Euro","44725"
"Mean Annual Earnings","2014","Limerick","Female","Euro","33104"
"Mean Annual Earnings","2014","Tipperary","Both sexes","Euro","36359"
"Mean Annual Earnings","2014","Tipperary","Male","Euro","41281"
"Mean Annual Earnings","2014","Tipperary","Female","Euro","31772"
"Mean Annual Earnings","2014","Waterford","Both sexes","Euro","36860"
"Mean Annual Earnings","2014","Waterford","Male","Euro","42366"
"Mean Annual Earnings","2014","Waterford","Female","Euro","31539"
"Mean Annual Earnings","2014","Galway","Both sexes","Euro","37837"
"Mean Annual Earnings","2014","Galway","Male","Euro","42306"
"Mean Annual Earnings","2014","Galway","Female","Euro","33824"
"Mean Annual Earnings","2014","Leitrim","Both sexes","Euro","34783"
"Mean Annual Earnings","2014","Leitrim","Male","Euro","37646"
"Mean Annual Earnings","2014","Leitrim","Female","Euro","32391"
"Mean Annual Earnings","2014","Mayo","Both sexes","Euro","34685"
"Mean Annual Earnings","2014","Mayo","Male","Euro","38318"
"Mean Annual Earnings","2014","Mayo","Female","Euro","31386"
"Mean Annual Earnings","2014","Roscommon","Both sexes","Euro","35719"
"Mean Annual Earnings","2014","Roscommon","Male","Euro","39174"
"Mean Annual Earnings","2014","Roscommon","Female","Euro","32680"
"Mean Annual Earnings","2014","Sligo","Both sexes","Euro","36605"
"Mean Annual Earnings","2014","Sligo","Male","Euro","40180"
"Mean Annual Earnings","2014","Sligo","Female","Euro","33508"
"Mean Annual Earnings","2014","Cavan","Both sexes","Euro","34668"
"Mean Annual Earnings","2014","Cavan","Male","Euro","38158"
"Mean Annual Earnings","2014","Cavan","Female","Euro","31364"
"Mean Annual Earnings","2014","Donegal","Both sexes","Euro","31691"
"Mean Annual Earnings","2014","Donegal","Male","Euro","33949"
"Mean Annual Earnings","2014","Donegal","Female","Euro","29726"
"Mean Annual Earnings","2014","Monaghan","Both sexes","Euro","32281"
"Mean Annual Earnings","2014","Monaghan","Male","Euro","34725"
"Mean Annual Earnings","2014","Monaghan","Female","Euro","29994"
"Mean Annual Earnings","2015","All counties (1)","Both sexes","Euro","40799"
"Mean Annual Earnings","2015","All counties (1)","Male","Euro","46604"
"Mean Annual Earnings","2015","All counties (1)","Female","Euro","35012"
"Mean Annual Earnings","2015","Carlow","Both sexes","Euro","35343"
"Mean Annual Earnings","2015","Carlow","Male","Euro","38906"
"Mean Annual Earnings","2015","Carlow","Female","Euro","31606"
"Mean Annual Earnings","2015","Dublin","Both sexes","Euro","46026"
"Mean Annual Earnings","2015","Dublin","Male","Euro","52869"
"Mean Annual Earnings","2015","Dublin","Female","Euro","38907"
"Mean Annual Earnings","2015","Kildare","Both sexes","Euro","43302"
"Mean Annual Earnings","2015","Kildare","Male","Euro","49997"
"Mean Annual Earnings","2015","Kildare","Female","Euro","36077"
"Mean Annual Earnings","2015","Kilkenny","Both sexes","Euro","37247"
"Mean Annual Earnings","2015","Kilkenny","Male","Euro","42027"
"Mean Annual Earnings","2015","Kilkenny","Female","Euro","33025"
"Mean Annual Earnings","2015","Laois","Both sexes","Euro","37749"
"Mean Annual Earnings","2015","Laois","Male","Euro","42364"
"Mean Annual Earnings","2015","Laois","Female","Euro","33220"
"Mean Annual Earnings","2015","Longford","Both sexes","Euro","34576"
"Mean Annual Earnings","2015","Longford","Male","Euro","37546"
"Mean Annual Earnings","2015","Longford","Female","Euro","31672"
"Mean Annual Earnings","2015","Louth","Both sexes","Euro","37090"
"Mean Annual Earnings","2015","Louth","Male","Euro","41745"
"Mean Annual Earnings","2015","Louth","Female","Euro","32304"
"Mean Annual Earnings","2015","Meath","Both sexes","Euro","41992"
"Mean Annual Earnings","2015","Meath","Male","Euro","48869"
"Mean Annual Earnings","2015","Meath","Female","Euro","34945"
"Mean Annual Earnings","2015","Offaly","Both sexes","Euro","36101"
"Mean Annual Earnings","2015","Offaly","Male","Euro","39932"
"Mean Annual Earnings","2015","Offaly","Female","Euro","32149"
"Mean Annual Earnings","2015","Westmeath","Both sexes","Euro","37754"
"Mean Annual Earnings","2015","Westmeath","Male","Euro","41789"
"Mean Annual Earnings","2015","Westmeath","Female","Euro","33589"
"Mean Annual Earnings","2015","Wexford","Both sexes","Euro","34242"
"Mean Annual Earnings","2015","Wexford","Male","Euro","38271"
"Mean Annual Earnings","2015","Wexford","Female","Euro","30503"
"Mean Annual Earnings","2015","Wicklow","Both sexes","Euro","42433"
"Mean Annual Earnings","2015","Wicklow","Male","Euro","49876"
"Mean Annual Earnings","2015","Wicklow","Female","Euro","35113"
"Mean Annual Earnings","2015","Clare","Both sexes","Euro","39632"
"Mean Annual Earnings","2015","Clare","Male","Euro","45829"
"Mean Annual Earnings","2015","Clare","Female","Euro","33825"
"Mean Annual Earnings","2015","Cork","Both sexes","Euro","40726"
"Mean Annual Earnings","2015","Cork","Male","Euro","47249"
"Mean Annual Earnings","2015","Cork","Female","Euro","34022"
"Mean Annual Earnings","2015","Kerry","Both sexes","Euro","35374"
"Mean Annual Earnings","2015","Kerry","Male","Euro","39955"
"Mean Annual Earnings","2015","Kerry","Female","Euro","31186"
"Mean Annual Earnings","2015","Limerick","Both sexes","Euro","39555"
"Mean Annual Earnings","2015","Limerick","Male","Euro","45244"
"Mean Annual Earnings","2015","Limerick","Female","Euro","33701"
"Mean Annual Earnings","2015","Tipperary","Both sexes","Euro","36773"
"Mean Annual Earnings","2015","Tipperary","Male","Euro","41479"
"Mean Annual Earnings","2015","Tipperary","Female","Euro","32330"
"Mean Annual Earnings","2015","Waterford","Both sexes","Euro","37122"
"Mean Annual Earnings","2015","Waterford","Male","Euro","42466"
"Mean Annual Earnings","2015","Waterford","Female","Euro","31845"
"Mean Annual Earnings","2015","Galway","Both sexes","Euro","39056"
"Mean Annual Earnings","2015","Galway","Male","Euro","43759"
"Mean Annual Earnings","2015","Galway","Female","Euro","34753"
"Mean Annual Earnings","2015","Leitrim","Both sexes","Euro","35214"
"Mean Annual Earnings","2015","Leitrim","Male","Euro","37959"
"Mean Annual Earnings","2015","Leitrim","Female","Euro","32916"
"Mean Annual Earnings","2015","Mayo","Both sexes","Euro","35166"
"Mean Annual Earnings","2015","Mayo","Male","Euro","38675"
"Mean Annual Earnings","2015","Mayo","Female","Euro","32000"
"Mean Annual Earnings","2015","Roscommon","Both sexes","Euro","36220"
"Mean Annual Earnings","2015","Roscommon","Male","Euro","39582"
"Mean Annual Earnings","2015","Roscommon","Female","Euro","33168"
"Mean Annual Earnings","2015","Sligo","Both sexes","Euro","37129"
"Mean Annual Earnings","2015","Sligo","Male","Euro","40537"
"Mean Annual Earnings","2015","Sligo","Female","Euro","34161"
"Mean Annual Earnings","2015","Cavan","Both sexes","Euro","35200"
"Mean Annual Earnings","2015","Cavan","Male","Euro","38505"
"Mean Annual Earnings","2015","Cavan","Female","Euro","31944"
"Mean Annual Earnings","2015","Donegal","Both sexes","Euro","32137"
"Mean Annual Earnings","2015","Donegal","Male","Euro","34478"
"Mean Annual Earnings","2015","Donegal","Female","Euro","30080"
"Mean Annual Earnings","2015","Monaghan","Both sexes","Euro","32536"
"Mean Annual Earnings","2015","Monaghan","Male","Euro","34614"
"Mean Annual Earnings","2015","Monaghan","Female","Euro","30578"
"Mean Annual Earnings","2016","All counties (1)","Both sexes","Euro","41250"
"Mean Annual Earnings","2016","All counties (1)","Male","Euro","47108"
"Mean Annual Earnings","2016","All counties (1)","Female","Euro","35329"
"Mean Annual Earnings","2016","Carlow","Both sexes","Euro","35234"
"Mean Annual Earnings","2016","Carlow","Male","Euro","39108"
"Mean Annual Earnings","2016","Carlow","Female","Euro","31090"
"Mean Annual Earnings","2016","Dublin","Both sexes","Euro","46976"
"Mean Annual Earnings","2016","Dublin","Male","Euro","53692"
"Mean Annual Earnings","2016","Dublin","Female","Euro","39989"
"Mean Annual Earnings","2016","Kildare","Both sexes","Euro","44092"
"Mean Annual Earnings","2016","Kildare","Male","Euro","51107"
"Mean Annual Earnings","2016","Kildare","Female","Euro","36441"
"Mean Annual Earnings","2016","Kilkenny","Both sexes","Euro","37338"
"Mean Annual Earnings","2016","Kilkenny","Male","Euro","42112"
"Mean Annual Earnings","2016","Kilkenny","Female","Euro","32964"
"Mean Annual Earnings","2016","Laois","Both sexes","Euro","37703"
"Mean Annual Earnings","2016","Laois","Male","Euro","42455"
"Mean Annual Earnings","2016","Laois","Female","Euro","32980"
"Mean Annual Earnings","2016","Longford","Both sexes","Euro","34144"
"Mean Annual Earnings","2016","Longford","Male","Euro","37078"
"Mean Annual Earnings","2016","Longford","Female","Euro","31097"
"Mean Annual Earnings","2016","Louth","Both sexes","Euro","37147"
"Mean Annual Earnings","2016","Louth","Male","Euro","41775"
"Mean Annual Earnings","2016","Louth","Female","Euro","32271"
"Mean Annual Earnings","2016","Meath","Both sexes","Euro","42755"
"Mean Annual Earnings","2016","Meath","Male","Euro","49795"
"Mean Annual Earnings","2016","Meath","Female","Euro","35301"
"Mean Annual Earnings","2016","Offaly","Both sexes","Euro","35901"
"Mean Annual Earnings","2016","Offaly","Male","Euro","39643"
